::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient
0,0.813141852,0,0.813141852,0,0.813141852,0,0.813141852,0,0.813141852,0,0.813141852
0.000272331,0.717314705,0.000272331,0.717314705,0.000272331,0.717314705,0.000272331,0.717314705,0.000272331,0.717314705,0.000272331,0.717314705
0.000544662,0.465971989,0.000544662,0.465971989,0.000544662,0.465971989,0.000544662,0.465971989,0.000544662,0.465971989,0.000544662,0.465971989
0.000816993,0.59341539,0.000816993,0.59341539,0.000816993,0.59341539,0.000816993,0.59341539,0.000816993,0.59341539,0.000816993,0.59341539
0.001089325,0.712874335,0.001089325,0.712874335,0.001089325,0.712874335,0.001089325,0.712874335,0.001089325,0.712874335,0.001089325,0.712874335
0.001361656,0.625387421,0.001361656,0.625387421,0.001361656,0.625387421,0.001361656,0.625387421,0.001361656,0.625387421,0.001361656,0.625387421
0.001633987,0.497547192,0.001633987,0.497547192,0.001633987,0.497547192,0.001633987,0.497547192,0.001633987,0.497547192,0.001633987,0.497547192
0.001906318,0.694969177,0.001906318,0.694969177,0.001906318,0.694969177,0.001906318,0.694969177,0.001906318,0.694969177,0.001906318,0.694969177
0.002178649,0.442155461,0.002178649,0.442155461,0.002178649,0.442155461,0.002178649,0.442155461,0.002178649,0.442155461,0.002178649,0.442155461
0.00245098,0.625387421,0.00245098,0.625387421,0.00245098,0.625387421,0.00245098,0.625387421,0.00245098,0.625387421,0.00245098,0.625387421
0.002723312,0.592635418,0.002723312,0.592635418,0.002723312,0.592635418,0.002723312,0.592635418,0.002723312,0.592635418,0.002723312,0.592635418
0.002995643,0.621535451,0.002995643,0.621535451,0.002995643,0.621535451,0.002995643,0.621535451,0.002995643,0.621535451,0.002995643,0.621535451
0.003267974,0.572985584,0.003267974,0.572985584,0.003267974,0.572985584,0.003267974,0.572985584,0.003267974,0.572985584,0.003267974,0.572985584
0.003540305,0.382077053,0.003540305,0.382077053,0.003540305,0.382077053,0.003540305,0.382077053,0.003540305,0.382077053,0.003540305,0.382077053
0.003812636,0.382077053,0.003812636,0.382077053,0.003812636,0.382077053,0.003812636,0.382077053,0.003812636,0.382077053,0.003812636,0.382077053
0.004084967,0.591007054,0.004084967,0.591007054,0.004084967,0.591007054,0.004084967,0.591007054,0.004084967,0.591007054,0.004084967,0.591007054
