Time $t$ [s]::Linearized acetic acid concentration $f(c_{Ac})$ [mol/L],Exp. @303.15 K,whos_plot,Exp. @313.15 K,whos_plot,Exp. @323.15 K,whos_plot,Fitting @303.15 K,whos_plot,Fitting @313.15 K,whos_plot,Fitting @323.15 K,Time $t$ [s]::Linearized acetic acid concentration $f(c_{Ac})$ [mol/L],Exp. @303.15 K,whos_plot,Exp. @313.15 K,whos_plot,Exp. @323.15 K,whos_plot,Fitting @303.15 K,whos_plot,Fitting @313.15 K,whos_plot,Fitting @323.15 K,Time $t$ [s]::Linearized acetic acid concentration $f(c_{Ac})$ [mol/L],Exp. @303.15 K,whos_plot,Exp. @313.15 K,whos_plot,Exp. @323.15 K,whos_plot,Fitting @303.15 K,whos_plot,Fitting @313.15 K,whos_plot,Fitting @323.15 K,Time $t$ [s]::Linearized acetic acid concentration $f(c_{Ac})$ [mol/L],Exp. @303.15 K,whos_plot,Exp. @313.15 K,whos_plot,Exp. @323.15 K,whos_plot,Fitting @303.15 K,whos_plot,Fitting @313.15 K,whos_plot,Fitting @323.15 K
0,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.029599339,15,0.055553505,15,0.079184706,15,0.0385278,15,0.0661545,15,0.09936105,15,0.034965774,15,0.065726421,15,0.093816448,15,4.98E-02,15,0.08496435,15,0.1286361,15,0.041305198,15,0.077762474,15,0.111152656,15,0.0645408,15,0.10951155,15,0.1671831,15,0.048794033,15,0.092002943,15,0.131693365,15,0.08404215,15,0.1416711,15,0.2181438
30,0.065392941,30,0.123249656,30,0.173339555,30,0.0770556,30,0.132309,30,0.1987221,30,0.077412814,30,0.146407426,30,0.206526938,30,9.95E-02,30,0.1699287,30,0.2572722,30,0.091642517,30,0.17391949,30,0.246077083,30,0.1290816,30,0.2190231,30,0.3343662,30,0.108488407,30,0.206605157,30,0.293211549,30,0.1680843,30,0.2833422,30,0.4362876
45,0.104399019,45,0.193700877,45,0.26841616,45,0.1155834,45,0.1984635,45,0.29808315,45,0.123875562,45,0.231068953,45,0.321644727,45,1.49E-01,45,0.25489305,45,0.3859083,45,0.146987502,45,0.275658208,45,0.385462074,45,0.1936224,45,0.32853465,45,0.5015493,45,0.174413756,45,0.328866459,45,0.461981211,45,0.25212645,45,0.4250133,45,0.6544314
60,0.143604253,75,0.335946816,60,0.373492518,60,0.1541112,75,0.3307725,60,0.3974442,60,0.170794092,75,0.404222624,60,0.450430975,60,1.99E-01,75,0.42482175,60,0.5145444,60,0.203136956,75,0.486440625,60,0.543310399,60,0.2581632,75,0.54755775,60,0.6687324,60,0.241610383,75,0.585461295,60,0.655452472,60,0.3361686,75,0.7083555,60,0.8725752
75,0.185337947,90,0.393336909,75,0.4770099,75,0.192639,90,0.396927,75,0.49680525,75,0.220981612,90,0.474940446,75,0.578949305,75,2.49E-01,90,0.5097861,75,0.6431805,75,0.263490888,90,0.573581646,75,0.702869964,75,0.322704,90,0.6570693,75,0.8359155,75,0.314190273,90,0.692840012,75,0.853553437,75,0.42021075,90,0.8500266,75,1.090719
90,0.220988203,105,0.461779732,90,0.581498504,90,0.2311668,105,0.4630815,90,0.5961663,90,0.264053787,105,0.559936889,90,0.710370404,90,2.99E-01,105,0.59475045,90,0.7718166,90,0.315530209,105,0.679136013,90,0.868167931,90,0.3872448,105,0.76658085,90,1.0030986,90,0.377063697,105,0.823925397,90,1.061463821,90,0.5042529,105,0.9916977,90,1.3088628
105,0.265604617,120,0.525239217,105,0.692804668,105,0.2696946,120,0.529236,105,0.69552735,105,0.318221456,120,0.639395441,105,0.852292638,105,3.48E-01,120,0.6797148,105,0.9004527,105,0.381293977,120,0.778627753,105,1.049130583,105,0.4517856,120,0.8760924,105,1.1702817,105,0.456906229,120,0.948501774,105,1.292210126,105,0.58829505,120,1.1333688,105,1.5270066
120,0.302671445,135,0.593504796,120,0.797735334,120,0.3082224,135,0.5953905,120,0.7948884,120,0.363447581,135,0.725582612,120,0.987955713,120,3.98E-01,135,0.76467915,120,1.0290888,120,0.436475551,135,0.887442101,120,1.224529756,120,0.5163264,135,0.98560395,120,1.3374648,120,0.524234819,135,1.085884583,120,1.518987692,120,0.6723372,135,1.2750399,120,1.7451504
135,0.345912676,150,0.659197406,135,0.893722657,135,0.3467502,150,0.661545,135,0.89424945,135,0.416467034,150,0.80922864,135,1.113688842,135,4.48E-01,150,0.8496435,135,1.1577249,135,0.501484546,150,0.993948736,135,1.38922888,135,0.5808672,150,1.0951155,135,1.5046479,135,0.603944796,150,1.22150046,135,1.734731616,135,0.75637935,150,1.416711,135,1.9632942
